fare_id,price,currency_type,payment_method,transfers,transfer_duration
184845,2.25,USD,0,,5400
184850,2.25,USD,0,,5400
184855,2.25,USD,0,,5400
184860,2.25,USD,0,,5400
184865,2.25,USD,0,,5400
184870,2.25,USD,0,,5400
184875,2.25,USD,0,,5400
184880,2.25,USD,0,,5400
184885,2.25,USD,0,,5400
184890,2.25,USD,0,,5400
184895,2.25,USD,0,,5400
184900,2.25,USD,0,,5400
184905,2.25,USD,0,,5400
184910,2.25,USD,0,,5400
184915,2.25,USD,0,,5400
184920,2.25,USD,0,,5400
184925,2.25,USD,0,,5400
184930,2.25,USD,0,,5400
184935,2.25,USD,0,,5400
184940,2.25,USD,0,,5400
184945,2.25,USD,0,,5400
184950,2.25,USD,0,,5400
184955,2.25,USD,0,,5400
184960,2.25,USD,0,,5400
184965,2.25,USD,0,,5400
184970,2.25,USD,0,,5400
184975,2.25,USD,0,,5400
184980,2.25,USD,0,,5400
184985,2.25,USD,0,,5400
184990,2.25,USD,0,,5400
184995,2.25,USD,0,,5400
185000,2.25,USD,0,,5400
185005,2.25,USD,0,,5400
185010,2.25,USD,0,,5400
185015,2.25,USD,0,,5400
185020,2.25,USD,0,,5400
185025,2.25,USD,0,,5400
185030,2.25,USD,0,,5400
185035,2.25,USD,0,,5400
185040,2.25,USD,0,,5400
185045,2.25,USD,0,,5400
185050,2.25,USD,0,,5400
185055,2.25,USD,0,,5400
185060,2.25,USD,0,,5400
185065,2.25,USD,0,,5400
185070,2.25,USD,0,,5400
185075,2.25,USD,0,,5400
185080,2.25,USD,0,,5400
185085,2.25,USD,0,,5400
185090,2.25,USD,0,,5400
185095,2.25,USD,0,,5400
185100,2.25,USD,0,,5400
185105,2.25,USD,0,,5400
185110,2.25,USD,0,,5400
185115,2.25,USD,0,,5400
185120,2.25,USD,0,,5400
185125,2.25,USD,0,,5400
185130,2.25,USD,0,,5400
185135,6.00,USD,0,0,
185140,6.00,USD,0,0,
185145,6.00,USD,0,0,
185150,2.25,USD,0,,5400
185155,2.25,USD,0,,5400
185160,2.25,USD,0,,5400
185165,2.25,USD,0,,5400
185170,2.25,USD,0,,5400
185175,2.25,USD,0,,5400
185180,2.25,USD,0,,5400
185185,2.25,USD,0,,5400
185190,2.25,USD,0,,5400
185195,2.25,USD,0,,5400
185200,2.25,USD,0,,5400
185205,2.25,USD,0,,5400
185210,2.25,USD,0,,5400
185215,2.25,USD,0,,5400
185220,2.25,USD,0,,5400
185225,2.25,USD,0,,5400
185230,2.25,USD,0,,5400
185235,2.25,USD,0,,5400
185240,2.25,USD,0,,5400
185245,2.25,USD,0,,5400
185250,2.25,USD,0,,5400
185255,2.25,USD,0,,5400
185260,2.25,USD,0,,5400
