fare_id,route_id
184845,1
184850,1AX
184855,1BX
184860,31AX
184865,31BX
184870,38AX
184875,38BX
184880,2
184885,3
184890,5
184895,5R
184900,6
184905,7
184910,7R
184915,7X
184920,8
184925,8AX
184930,8BX
184935,9
184940,9R
184945,10
184950,12
184955,14
184960,14R
184965,14X
184970,18
184975,19
184980,21
184985,22
184990,23
184995,24
185000,25
185005,27
185010,28
185015,28R
185020,29
185025,30
185030,30X
185035,31
185040,33
185045,35
185050,36
185055,37
185060,38
185065,38R
185070,39
185075,41
185080,43
185085,44
185090,45
185095,47
185100,48
185105,49
185110,52
185115,54
185120,55
185125,56
185130,57
185135,Powell-Mason
185140,Powell-Hyde
185145,California
185150,66
185155,67
185160,76X
185165,81X
185170,82X
185175,83X
185180,88
185185,90
185190,91
185195,K-OWL
185200,L-OWL
185205,M-OWL
185210,N-OWL
185215,T-OWL
185220,E
185225,F
185230,J
185235,KT
185240,L
185245,M
185250,N
185255,NX
